I0916 23:59:50.485169      50 server.go:1568] Starting language server process with pid 3306
W0916 23:59:51.008100     253 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0916 23:59:51.008119     253 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0916 23:59:51.008187     253 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0916 23:59:51.008199     253 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0916 23:59:51.010447       1 auto_updater.go:305] Spawned background update process with PID 3387
I0916 23:59:51.010591       1 common.go:151] Launching CLI mode
E0916 23:59:51.010617       1 launchsteps.go:84] Failed to resolve GeminiDir ".gemini": .gemini must be an absolute path: path is not absolute, falling back to default
I0916 23:59:51.010635       1 common.go:173] CLI app data directory: /Users/zhaoqingli/.gemini/antigravity-cli
I0916 23:59:51.010662       1 server.go:299] Creating CLI server backend: product=antigravity workspaceDirs=[/tmp/ap-agy-live-vNdJJs] appDataDir=/Users/zhaoqingli/.gemini/antigravity-cli cascadeManager=true codeAssist=true
I0916 23:59:51.010879       1 auth_provider.go:952] [AuthProvider] SetEnableBusinessLogin called with enable: true
I0916 23:59:51.011583     297 store_client.go:680] summary store: starting background reconciliation (trigger=empty_on_open)
W0916 23:59:51.011856     292 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0916 23:59:51.011881     292 errorreport.go:224] error getting token source: You are not logged into Antigravity.
E0916 23:59:51.011843     297 server.go:2935] Failed to read conversations directory /Users/zhaoqingli/.gemini/antigravity/conversations: open /Users/zhaoqingli/.gemini/antigravity/conversations: no such file or directory
I0916 23:59:51.011920     297 server.go:2843] ListConversations returning 0 summaries
I0916 23:59:51.011932     297 store_client.go:709] summary store: reconcile func returned 0 records, skipping
W0916 23:59:51.011976     292 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0916 23:59:51.012040       1 project.go:77] project: created project "CLI Project" (id=default-cli-project) at /Users/zhaoqingli/.gemini/config/projects/default-cli-project.json
E0916 23:59:51.012057     292 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0916 23:59:51.012061       1 server.go:2074] Backend project ID updated dynamically to: default-cli-project
I0916 23:59:51.012081       1 analytics.go:186] CLI startup completed (took 527.553042ms)
W0916 23:59:51.012118     292 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
I0916 23:59:51.012109       1 printmode.go:174] Print mode: starting (promptLength=23, model="", conversationID="")
E0916 23:59:51.012133     292 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0916 23:59:51.012169     292 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0916 23:59:51.012186     292 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0916 23:59:51.012156       1 manager.go:426] Initializing CLI store manager for workspace /tmp/ap-agy-live-vNdJJs
W0916 23:59:51.012231     292 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0916 23:59:51.012245     292 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0916 23:59:51.012279     292 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0916 23:59:51.012290     292 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0916 23:59:51.012329     292 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0916 23:59:51.012344     292 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0916 23:59:51.012378     292 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0916 23:59:51.012388     292 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0916 23:59:51.012344       1 cli_setting_manager.go:364] cli settings not available, using defaults: failed to read cli settings: open /Users/zhaoqingli/.gemini/antigravity-cli/settings.json: no such file or directory
I0916 23:59:51.012430       1 cli_setting_manager.go:79] config.json not found or unreadable, using CLI settings only: open /Users/zhaoqingli/.gemini/config/config.json: no such file or directory
W0916 23:59:51.012534     311 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
I0916 23:59:51.012548       1 cli_setting_manager.go:92] CLI settings initialized: permissions=<nil>, toolPermission=request-review
E0916 23:59:51.012588     311 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0916 23:59:51.012685     311 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0916 23:59:51.012741     311 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0916 23:59:51.012791       1 hooks_manager.go:53] loaded 0 named hooks from 0 hooks.json file(s)
I0916 23:59:51.012964       1 manager.go:600] CLI store manager initialized successfully
I0916 23:59:51.013014       1 session.go:68] Print mode: --dangerously-skip-permissions set, auto-approving all tool permissions
I0916 23:59:51.013087       1 printmode.go:365] Print mode: not authenticated, trying silent auth
I0916 23:59:51.044612       1 printmode.go:371] Print mode: silent auth failed
I0916 23:59:51.044699       1 printmode.go:388] Print mode: triggering interactive OAuth
I0916 23:59:51.044712       1 auth_manager.go:158] Starting OAuth authentication flow
I0916 23:59:51.044728       1 browser.go:56] consumerOAuth: starting OAuth flow
E0916 23:59:53.144426     133 browser_context.go:179] failed to install playwright: could not install driver: could not install driver: error: got non 200 status code: 404 (404 Not Found) from https://playwright.azureedge.net/builds/driver/playwright-1.57.0-mac-arm64.zip
error: got non 200 status code: 404 (404 Not Found) from https://playwright-akamai.azureedge.net/builds/driver/playwright-1.57.0-mac-arm64.zip
error: got non 200 status code: 404 (404 Not Found) from https://playwright-verizon.azureedge.net/builds/driver/playwright-1.57.0-mac-arm64.zip
E0917 00:00:25.998920      66 g3syslog.go:23] [Post "https://play.googleapis.com/log": dial tcp [2001:4860:4843:400::]:443: i/o timeout]
E0917 00:00:25.999678      31 client.go:68] Post "https://play.googleapis.com/log": dial tcp [2001:4860:4843:400::]:443: i/o timeout
W0917 00:00:50.988765      67 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0917 00:00:50.989777      67 errorreport.go:224] error getting token source: You are not logged into Antigravity.
E0917 00:00:50.990058      67 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
E0917 00:00:51.046165       1 printmode.go:438] Print mode: auth timed out
I0917 00:00:51.046634       1 manager.go:780] CLI store manager shutting down
I0917 00:00:51.047989     508 server.go:2874] Language server shutting down
I0917 00:00:51.048019     508 server.go:2879] Waiting for migrations to complete to prevent partial migration state...
E0917 00:00:56.050167      50 server.go:2867] Language server shutdown timed out
